id,category,language,label,text
rag_bank_001,Bank Impersonation,English,scam,"Bank impersonation scams involve fraudsters posing as representatives from well-known Indian banks such as SBI, HDFC, ICICI, Axis Bank, or PNB. The caller typically opens with an authoritative greeting and claims to be from the 'fraud prevention team', 'KYC department', or 'customer care'. The escalation pattern follows a predictable arc: first, they establish urgency by claiming the victim's account has been suspended, flagged, or compromised. Then they request sensitive details such as Aadhaar number, date of birth, debit card number, CVV, or net banking password. The final stage involves requesting an OTP that the victim receives on their phone, which the scammer uses to complete an unauthorized transaction. Common trigger phrases include 'your account will be blocked in 2 hours', 'suspicious activity detected', 'KYC update required immediately', and 'unauthorized transaction from your account'. These calls often spoof legitimate bank numbers to appear genuine on caller ID."
rag_bank_002,Bank Impersonation,Hinglish,scam,"Bank impersonation scam calls mein scammer SBI, HDFC, ya ICICI Bank ka representative banta hai. Call ki shuruat formal greeting se hoti hai jaise 'Namaste, main SBI customer care se bol raha hoon'. Phir victim ko bataya jata hai ki unka account suspicious activity ki wajah se block ho gaya hai ya KYC expire ho gayi hai. Urgency create karne ke liye scammer kehta hai 'aaj raat 12 baje account band ho jayega' ya 'abhi verify karo warna transaction rok denge'. Victim se Aadhaar number, ATM PIN, ya OTP maanga jata hai. OTP maangne ka tarika hota hai 'ek OTP aaya hoga aapke phone pe, woh share karein toh account restore ho jayega'. In calls mein scammer authoritative tone use karta hai aur victim ko sochne ka waqt nahi deta. Aksar ye calls spoofed numbers se aate hain jo genuine bank numbers jaisi dikhti hain."
rag_bank_003,Bank Impersonation,Tenglish,scam,"Bank impersonation scam calls lo scammer SBI, HDFC, ledu Axis Bank representative laa matladutaadu. Call start lo 'Namaskaram, nenu SBI Bank nundi matladutunnanu' ani formal ga start avutundi. Taruvata victim ki cheppataadu ki meeru account suspicious activity walla block ayyindi ledu KYC expire ayyindi ani. Urgency create cheyyataaniki 'eedu raatri 12 gantalkki account band avutundi' ani cheptaadu. Victim nundi Aadhaar number, ATM PIN, ledu OTP adugutaadu. OTP aduge tarika 'oka OTP vachindi meeru phone ki, daanini share cheste account restore avutundi' ani cheptaadu. Ee calls lo scammer authoritative tone use chestadu mariyu victim ki aalochinche time ivvaadu. Chala sarlu ee calls genuine bank numbers laa kanapistaayi spoofing valla."
rag_otp_001,OTP Fraud,English,scam,"OTP fraud is one of the most common financial scams in India, exploiting the one-time password system used by banks and UPI platforms. Scammers typically pose as bank officials, NPCI representatives, or payment app support agents. The core manipulation involves convincing the victim that sharing their OTP is necessary to 'block a fraudulent transaction', 'verify their account', or 'complete a KYC update'. In reality, the scammer has already initiated a transaction or login attempt and needs the OTP to complete it. Key escalation phrases include 'a transaction of Rs X is happening right now — share your OTP to stop it', 'your account will be deactivated unless you verify with OTP', and 'the OTP is just for verification, no money will be deducted'. The scammer creates extreme time pressure, claiming the OTP expires in 60 seconds. Platforms targeted include SBI YONO, PhonePe, Google Pay, Paytm, and BHIM UPI."
rag_otp_002,OTP Fraud,Hinglish,scam,"OTP fraud India mein sabse common financial scam hai. Scammer bank official, NPCI representative, ya PhonePe/Google Pay support agent banta hai. Core manipulation ye hoti hai ki victim ko convince kiya jata hai ki OTP share karna zaroori hai — kisi 'fraudulent transaction ko block karne ke liye' ya 'account verify karne ke liye'. Actually scammer pehle se hi ek transaction ya login initiate kar chuka hota hai aur OTP chahiye usse complete karne ke liye. Common phrases hain 'abhi aapke account se Rs X ja raha hai, OTP share karo isko rokne ke liye', 'OTP sirf verification ke liye hai, koi paisa nahi katega', aur 'OTP 60 seconds mein expire ho jayega, jaldi batao'. Scammer extreme urgency create karta hai taki victim soch na sake. PhonePe, Google Pay, Paytm, aur BHIM UPI pe ye scam zyada hota hai."
rag_otp_003,OTP Fraud,Tenglish,scam,"OTP fraud India lo most common financial scam. Scammer bank official, NPCI representative, ledu PhonePe/Google Pay support agent laa matladutaadu. Core manipulation em antee victim ni convince cheyyatam ki OTP share cheyyatam avasaram — 'fraudulent transaction block cheyyataaniki' ledu 'account verify cheyyataaniki' ani. Nijamga scammer already oka transaction ledu login initiate chesuntaadu mariyu OTP kavali complete cheyyataaniki. Common phrases: 'ippudu meeru account nundi Rs X vastondi, OTP share cheyyandi aapaaniki', 'OTP kevalam verification kosam, em money poledhu', mariyu 'OTP 60 seconds lo expire avutundi, veganga cheppandi'. Scammer extreme urgency create chestadu taki victim aalochinchakunda. PhonePe, Google Pay, Paytm, mariyu BHIM UPI pe ee scam ekkuva jarugutondi."
rag_upi_001,UPI Payment Scam,English,scam,"UPI payment scams exploit the widespread adoption of Unified Payments Interface in India. These scams take multiple forms: the 'receive money' QR code trick where a scammer sends a QR code claiming it will credit money but actually debits the victim's account; impersonation of friends or relatives claiming emergency situations to request urgent UPI transfers; fake OLX or Quikr buyers who pose as army officers and request advance payments; and BHIM/PhonePe lottery scams where victims are told they have won cashback and must pay a small fee to claim it. The language pattern in UPI scams often includes emotional manipulation: 'bhai emergency hai, accident ho gaya', 'please abhi bhej de, life or death situation hai', and 'ye receive karne wala QR hai, send nahi'. A key indicator is the request to 'scan this QR' or 'click collect money' when the actual outcome is a debit."
rag_upi_002,UPI Payment Scam,Hinglish,scam,"UPI payment scam India mein kai tarah se hota hai. Sabse common hai 'receive money QR code' trick — scammer ek QR code bhejta hai ye kehke ki paisa aayega, lekin actually account se paisa kat jata hai. Doosra tarika hai fake emergency — scammer kisi relative ya dost ki tarah baat karta hai aur kehta hai 'bhai accident ho gaya, hospital mein hoon, turant Rs 5000 bhej de'. Teesra tarika OLX scam hai jahan buyer army officer banta hai aur advance payment maangta hai. BHIM lottery scam mein victim ko kehte hain ki unhone cashback jeeta hai. Common phrases: 'bhai please abhi bhej, bahut urgent hai', 'ye collect money ka QR hai, scan karo', 'mera number change ho gaya hai, is naye number pe bhejo'. Scammer emotional manipulation use karta hai victim ko pressure mein dalne ke liye aur jaldi decision lene par majboor karta hai."
rag_upi_003,UPI Payment Scam,Tenglish,scam,"UPI payment scam India lo chala taraluga jarugutundi. Most common ga 'receive money QR code' trick — scammer oka QR code pampataadu 'dabbu vastuundi scan cheyyi' ani cheppi, kaani actually account nundi dabbu poyyatam jarugutondi. Rendu tarika fake emergency — scammer friend ledu relative laa matladutaadu mariyu cheptaadu 'bhai accident ayyindi, hospital lo unnaanu, ventane Rs 5000 pampu'. Moondu tarika OLX scam lo buyer army officer laa bhaavistadu mariyu advance payment adugutaadu. BHIM lottery scam lo victim ki cheptaaru cashback gelluchukunnaadu ani. Common phrases: 'bhai please ippude pampu, chala urgent', 'ee collect money QR, scan cheyyi', 'naaku number change ayyindi, ee kotta number ki pampu'. Scammer emotional manipulation use chestadu victim ni pressure lo pette laagataaniki mariyu quick decision teesukune laa chestadu."
rag_job_001,Job Scam,English,scam,"Job scams in India target unemployed youth and job seekers by offering fake positions at reputed companies like TCS, Infosys, Wipro, Amazon, or government departments. The scammer typically claims to have found the victim's resume on Naukri.com, LinkedIn, or Indeed, and offers an attractive work-from-home position with high salary. The escalation involves multiple fee demands: first a registration fee, then a training kit fee, then a background check fee, and finally a security deposit — all claimed to be refundable upon joining. Common phrases include 'you are selected for WFH position at Rs 25,000 per month', 'pay Rs 2,000 registration fee, it is fully refundable', 'your appointment letter will be emailed once payment is confirmed', and 'this is a government-approved vacancy'. A key red flag is any job offer that requires upfront payment before employment begins."
rag_job_002,Job Scam,Hinglish,scam,"Job scam India mein unemployed youth ko target karta hai — Naukri.com ya LinkedIn pe resume dekh ke call karte hain. Scammer khud ko TCS, Infosys, ya kisi government department ka HR representative batata hai. Attractive work-from-home position offer karte hain high salary ke saath. Phir ek ke baad ek fees maangni shuru hoti hai — registration fee, training material fee, background check fee, aur security deposit. Har baar kehte hain 'ye fee joining ke baad pehli salary mein refund ho jayegi'. Common phrases: 'aap WFH ke liye select hue hain, Rs 25,000 per month milega', 'sirf Rs 2,000 registration fee hai, fully refundable hai', 'payment ke baad appointment letter email ho jayega', aur 'ye government approved vacancy hai'. Sabse bada red flag hai ki koi bhi legitimate company joining se pehle koi fee nahi maangti."
rag_job_003,Job Scam,Tenglish,scam,"Job scam India lo unemployed youth ni target chestundi — Naukri.com ledu LinkedIn lo resume chusi call chestaru. Scammer tannu TCS, Infosys, ledu government department HR representative laa chupinchukuntaadu. Attractive work-from-home position offer chestaru high salary tho. Taruvata okkaoka fees adugutaru — registration fee, training material fee, background check fee, mariyu security deposit. Prati sarlu 'ee fee joining taruvata first salary lo refund avutundi' ani cheptaru. Common phrases: 'meeru WFH kosam select ayyaaru, Rs 25,000 per month vastundi', 'kevalam Rs 2,000 registration fee, fully refundable', 'payment taruvata appointment letter email lo vastuundi', mariyu 'ee government approved vacancy'. Biggest red flag em antee legitimate company endukaina joining mundu fees adugadu."
rag_tech_001,Tech Support Scam,English,scam,"Tech support scams involve fraudsters posing as representatives from Microsoft, Google, Apple, Airtel, or BSNL technical teams, claiming the victim's device has been hacked or infected with malware. The scammer asks the victim to install remote access software such as AnyDesk, TeamViewer, or QuickSupport, granting them full control of the device. Once inside, they may steal banking credentials, install actual malware, or directly conduct transactions. The escalation follows this pattern: first alarming the victim ('we detected 47 viruses on your computer'), then urgency ('your data will be stolen if not fixed immediately'), then requesting remote access, and finally demanding payment for a 'security package'. Common phrases include 'your router has been hacked', 'your IP is involved in illegal activity', 'download AnyDesk and give me the ID and password', and 'we need to install a security certificate'. Victims often lose both money and data."
rag_tech_002,Tech Support Scam,Hinglish,scam,"Tech support scam mein scammer Microsoft, Google, Apple, ya Airtel technical team ka representative banta hai. Victim ko bolta hai ki unka device hack ho gaya hai ya malware se infected hai. Phir AnyDesk, TeamViewer, ya QuickSupport install karne ko kehta hai — isse scammer ko poora device ka access mil jata hai. Andar jaake woh banking credentials churata hai, actual malware install kar sakta hai, ya seedha transactions kar sakta hai. Escalation pattern: pehle alarm karo ('aapke computer mein 47 virus hain'), phir urgency banao ('turant fix nahi kiya toh data chori ho jayega'), phir remote access lo, phir paise maango 'security package' ke liye. Common phrases: 'aapka router hack ho gaya hai', 'aapka IP illegal activity mein use ho raha hai', 'AnyDesk download karo aur ID aur password do', aur 'hume security certificate install karna hai'. Victims aksar paisa aur data dono khote hain."
rag_tech_003,Tech Support Scam,Tenglish,scam,"Tech support scam lo scammer Microsoft, Google, Apple, ledu Airtel technical team representative laa matladutaadu. Victim ki cheptaadu meeru device hack ayyindi ledu malware tho infected ayyindi ani. Taruvata AnyDesk, TeamViewer, ledu QuickSupport install cheyyamani adugutaadu — daantho scammer ki full device access vastuundi. Lopala velli banking credentials dochukuntaadu, actual malware install cheyyavachu, ledu directly transactions cheyyavachu. Escalation pattern: mundu alarm cheyyatam ('meeru computer lo 47 virus unnayi'), taruvata urgency ('ventane fix cheyyakapote data poyyindi'), taruvata remote access teesukuntaadu, taruvata 'security package' kosam dabbu adugutaadu. Common phrases: 'meeru router hack ayyindi', 'meeru IP illegal activity lo use avutundi', 'AnyDesk download chesi ID mariyu password ivvu', mariyu 'memu security certificate install cheyyaali'. Victims chala sarlu dabbu mariyu data rendu pothaayi."
rag_lottery_001,Lottery Scam,English,scam,"Lottery and prize scams impersonate well-known brands such as KBC (Kaun Banega Crorepati), Airtel, Jio, Amazon, and WhatsApp India to falsely inform victims they have won large cash prizes or expensive products. The victim is told their mobile number was 'randomly selected' from millions of subscribers. To release the prize, various fees are demanded: processing fee, government tax clearance, TDS advance, insurance fee, or courier charges. Each time a fee is paid, a new fee is introduced until the victim realizes the fraud. Key phrases include 'congratulations, you have won Rs 25 lakh in KBC lucky draw', 'your number was selected from 5 crore subscribers', 'pay Rs 5,000 processing fee to release your prize', and 'prize will be transferred to your account within 24 hours of payment'. The scam relies on the victim's excitement and greed overriding skepticism."
rag_lottery_002,Lottery Scam,Hinglish,scam,"Lottery scam mein scammer KBC, Airtel, Jio, Amazon, ya WhatsApp India ka naam use karta hai aur victim ko bolte hain ki unhone bada prize jeeta hai. Victim ko bola jata hai ki unka mobile number 'randomly select' hua hai crores subscribers mein se. Prize release karne ke liye kai fees maangni shuru hoti hai — processing fee, government tax clearance, TDS advance, insurance fee, ya courier charges. Jab bhi ek fee pay hoti hai, nayi fee ki demand aa jaati hai. Key phrases: 'congratulations, aapne KBC lucky draw mein Rs 25 lakh jeete hain', 'aapka number 5 crore subscribers mein se select hua', 'prize release ke liye Rs 5,000 processing fee bhejein', aur 'payment ke 24 ghante mein prize aapke account mein transfer ho jayega'. Ye scam victim ki excitement aur greed pe nirbhar karta hai jo unki skepticism ko override kar deta hai."
rag_lottery_003,Lottery Scam,Tenglish,scam,"Lottery scam lo scammer KBC, Airtel, Jio, Amazon, ledu WhatsApp India peru use chesi victim ki cheptaadu 'meeru peddha prize gelluchukunnaaru' ani. Victim ki cheptaaru meeru mobile number crores subscribers nundi 'randomly select' ayyindi ani. Prize release cheyyataaniki chala fees adugutaaru — processing fee, government tax clearance, TDS advance, insurance fee, ledu courier charges. Okka fee pay chesina taruvaata kotta fee demand vastuundi. Key phrases: 'congratulations, meeru KBC lucky draw lo Rs 25 lakh gelluchukunnaaru', 'meeru number 5 crore subscribers nundi select ayyindi', 'prize release kosam Rs 5,000 processing fee pampandi', mariyu 'payment taruvata 24 gantallo prize meeru account ki transfer avutundi'. Ee scam victim excitement mariyu greed mida aadarpadi vaaditaa skepticism ni override chestuundi."
rag_legit_001,Legitimate Call Patterns,English,legitimate,"Legitimate calls from banks, hospitals, delivery services, and government offices follow patterns distinctly different from scam calls. Key distinguishing features of legitimate calls: they never ask for OTP, PIN, CVV, net banking password, or full card number over the phone; they provide information rather than demanding it; they do not create artificial urgency or threaten account suspension; they confirm details already on file ('calling to confirm your appointment on Tuesday') rather than asking for them; and they are comfortable with the customer saying 'I will call back on the official number'. Legitimate bank calls typically inform about EMI debit confirmations, FD maturity reminders, cheque clearance updates, and credit card bill reminders. Delivery calls confirm order status and timing. Hospital calls confirm appointments or share test results. Government calls about subsidies, LPG, or voting reminders do not ask for any financial details."
rag_legit_002,Legitimate Call Patterns,Hinglish,legitimate,"Legitimate calls bank, hospital, delivery service, ya government office se aate hain aur scam calls se bilkul alag hote hain. Legitimate calls ki pehchaan: ye kabhi phone pe OTP, PIN, CVV, ya full card number nahi maangti; ye information dete hain, maangti nahi; ye artificial urgency create nahi karte aur account suspend karne ki dhamki nahi dete; ye pehle se file mein maujood details confirm karte hain; aur agar aap kahein 'main official number pe wapas call karta hoon' to ye comfortable rehte hain. Bank ki legitimate calls typically EMI debit confirmation, FD maturity reminder, cheque clearance update, aur credit card bill reminder ke baare mein hoti hain. Delivery calls order status aur timing confirm karte hain. Hospital calls appointment confirm karte hain ya test results share karte hain. Government subsidy, LPG, ya voting reminder calls koi financial details nahi maangti."
rag_legit_003,Legitimate Call Patterns,Tenglish,legitimate,"Legitimate calls bank, hospital, delivery service, ledu government office nundi vasstayi mariyu scam calls kante chala different ga untaayi. Legitimate calls identify cheyyataaniki: ee calls endukaina phone lo OTP, PIN, CVV, ledu full card number adugavu; ee calls information istaayi, adugavu; ee calls artificial urgency create cheyyavu mariyu account suspend cheyyatam lanti threaten cheyyavu; ee calls already file lo unna details confirm chestaayi; mariyu meeru 'official number ki wapas call chestanu' ani cheppina kuda okay ga untaayi. Bank legitimate calls typically EMI debit confirmation, FD maturity reminder, cheque clearance update, mariyu credit card bill reminder gurinchi untaayi. Delivery calls order status mariyu timing confirm chestaayi. Hospital calls appointment confirm chestaayi ledu test results share chestaayi. Government subsidy, LPG, ledu voting reminder calls em financial details adugavu."
rag_arrest_001,Fake Arrest Scam,English,scam,"Fake arrest scams, also known as 'digital arrest' scams, involve fraudsters impersonating CBI officers, police, narcotics bureau agents, TRAI officials, or customs officers. The victim is told that their name, Aadhaar, or phone number is linked to a criminal case involving money laundering, drug trafficking, or illegal parcels. The scammer creates extreme fear by threatening immediate arrest and demanding the victim keep the call secret from family. A key tactic is the 'digital arrest' — the victim is told to stay on a video call while their accounts are 'verified', preventing them from seeking help. Victims are instructed to transfer funds to a 'safe RBI account' to clear their name. Key phrases: 'your Aadhaar is linked to 23 bank accounts used for money laundering', 'a FedEx parcel in your name contains drugs', 'you are under digital arrest, do not tell anyone', 'transfer your funds to this safe account to cooperate with the investigation'."
rag_arrest_002,Fake Arrest Scam,Hinglish,scam,"Fake arrest scam ya 'digital arrest' scam mein scammer CBI officer, police, TRAI official, ya customs officer banta hai. Victim ko bola jata hai ki unka naam, Aadhaar, ya phone number ek criminal case se linked hai — money laundering, drug trafficking, ya illegal parcel. Scammer extreme fear create karta hai immediate arrest ki dhamki dekar aur kehta hai ki family ko kuch mat batao. Ek key tactic hai 'digital arrest' — victim ko video call pe rakhte hain jab tak unke accounts 'verify' hote hain, is wajah se woh help nahi le pata. Victim ko instruction milti hai ki RBI ke 'safe account' mein funds transfer karo apna naam clear karne ke liye. Key phrases: 'aapka Aadhaar 23 bank accounts se linked hai jo money laundering mein use hue', 'aapke naam ka FedEx parcel drugs nikla hai', 'aap digital arrest mein hain, kisi ko mat batao', 'investigation mein cooperate karne ke liye funds is safe account mein transfer karo'."
rag_arrest_003,Fake Arrest Scam,Tenglish,scam,"Fake arrest scam ledu 'digital arrest' scam lo scammer CBI officer, police, TRAI official, ledu customs officer laa matladutaadu. Victim ki cheptaadu meeru naam, Aadhaar, ledu phone number oka criminal case tho link ayyindi — money laundering, drug trafficking, ledu illegal parcel. Scammer extreme fear create chestadu immediate arrest threaten chesi mariyu family ki em cheppakandi ani cheptadu. Key tactic em antee 'digital arrest' — victim ni video call lo pettukuntaaru vaarhi accounts 'verify' avutaayi ani, daantho victim help teesukole. Victim ki instruction vastuundi RBI 'safe account' lo funds transfer cheyyi naaku naam clear cheyyataaniki ani. Key phrases: 'meeru Aadhaar 23 bank accounts tho link ayyindi money laundering lo use ayyayi', 'meeru peru mida FedEx parcel lo drugs vachindi', 'meeru digital arrest lo unnaaru, evvariki cheppakandi', 'investigation lo cooperate cheyyataaniki funds ee safe account lo transfer cheyyi'."
rag_escalation_001,Escalation Patterns,English,scam,"All social engineering scam calls follow a recognizable escalation pattern that can be used to train detection models. Stage 1 (Risk 0.1-0.3): The scammer establishes rapport and credibility — 'I am calling from SBI Bank', 'we detected a problem with your account'. Stage 2 (Risk 0.3-0.5): Urgency and fear are introduced — 'your account will be suspended', 'an unauthorized transaction is happening right now'. Stage 3 (Risk 0.5-0.7): Sensitive information is requested — 'please share your Aadhaar number', 'what is the OTP you received'. Stage 4 (Risk 0.7-0.9): The final extraction — 'please transfer funds to this account', 'install this app and give me access', 'pay this fee to release your prize'. A key linguistic marker across all stages is the combination of authority ('I am from RBI/CBI/Bank') with urgency ('immediate', 'right now', '2 hours', 'today only') and a request for sensitive action (share OTP, transfer money, install app, pay fee)."
rag_escalation_002,Escalation Patterns,Hinglish,scam,"Sabhi social engineering scam calls ek recognizable escalation pattern follow karte hain. Stage 1 (Risk 0.1-0.3): Scammer credibility establish karta hai — 'main SBI Bank se bol raha hoon', 'hum ne aapke account mein problem detect ki'. Stage 2 (Risk 0.3-0.5): Urgency aur fear introduce hoti hai — 'aapka account suspend ho jayega', 'abhi aapke account se unauthorized transaction ho raha hai'. Stage 3 (Risk 0.5-0.7): Sensitive information maangi jaati hai — 'Aadhaar number share karein', 'jo OTP aaya woh batao'. Stage 4 (Risk 0.7-0.9): Final extraction — 'is account mein funds transfer karo', 'ye app install karo aur access do', 'prize release ke liye fee pay karo'. Sabhi stages mein ek common linguistic pattern hai — authority ('main RBI/CBI/Bank se hoon') + urgency ('turant', 'abhi', '2 ghante', 'aaj hi') + sensitive action request (OTP share karo, paisa transfer karo, app install karo, fee pay karo)."
rag_escalation_003,Escalation Patterns,Tenglish,scam,"Anni social engineering scam calls oka recognizable escalation pattern follow chestaayi. Stage 1 (Risk 0.1-0.3): Scammer credibility establish chestadu — 'nenu SBI Bank nundi matladutunnanu', 'memu meeru account lo problem detect chesamu'. Stage 2 (Risk 0.3-0.5): Urgency mariyu fear introduce avutaayi — 'meeru account suspend avutundi', 'ippudu meeru account nundi unauthorized transaction jarugutondi'. Stage 3 (Risk 0.5-0.7): Sensitive information adugutaru — 'Aadhaar number share cheyyandi', 'vachina OTP cheppandi'. Stage 4 (Risk 0.7-0.9): Final extraction — 'ee account lo funds transfer cheyyi', 'ee app install chesi access ivvu', 'prize release kosam fee pay cheyyi'. Anni stages lo oka common linguistic pattern undi — authority ('nenu RBI/CBI/Bank nundi') + urgency ('ventane', 'ippude', '2 gantalu', 'eedu maatrame') + sensitive action request (OTP share cheyyi, dabbu transfer cheyyi, app install cheyyi, fee pay cheyyi)."
